,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
95,Basler_acA2500-14um__23891378__20221129_144902408_0108.tiff,1544,760,40,20,17,37,34,39,39,41,41,41,45,41,46,39,46,41,44,41,43,41,42,40,41,9,6,14,12,27,22,33,28
96,Basler_acA2500-14um__23891378__20221129_144902408_0109.tiff,1544,761,40,20,17,37,34,39,38,40,41,40,44,41,46,39,46,41,44,40,43,40,41,40,40,8,7,14,11,26,22,33,28
97,Basler_acA2500-14um__23891378__20221129_144902408_0110.tiff,1544,760,40,20,17,37,34,38,38,40,41,40,44,41,45,39,45,40,43,40,42,40,41,40,40,9,7,13,11,26,22,32,28
98,Basler_acA2500-14um__23891378__20221129_144902408_0111.tiff,1544,760,40,20,17,36,34,38,38,40,40,40,44,40,45,39,45,40,43,40,42,39,40,39,40,8,7,13,11,26,22,32,28
99,Basler_acA2500-14um__23891378__20221129_144902408_0112.tiff,1544,760,39,20,17,36,33,38,38,40,40,39,43,40,45,39,45,40,43,39,42,39,40,39,39,8,7,13,11,26,22,32,27
100,Basler_acA2500-14um__23891378__20221129_144902408_0113.tiff,1544,760,39,19,16,36,33,38,37,39,40,39,43,40,44,39,44,40,42,39,41,39,40,39,39,9,6,13,11,25,22,31,27
101,Basler_acA2500-14um__23891378__20221129_144902408_0114.tiff,1544,761,38,19,16,35,33,37,37,39,39,39,42,40,44,38,44,39,42,38,41,38,40,39,39,8,6,13,11,25,21,31,27
102,Basler_acA2500-14um__23891378__20221129_144902408_0115.tiff,1544,761,38,19,16,35,33,37,37,39,39,39,42,39,44,38,44,39,42,38,40,38,39,38,39,8,6,13,11,25,21,31,27
103,Basler_acA2500-14um__23891378__20221129_144902408_0116.tiff,1544,760,38,19,16,35,33,37,37,39,39,39,42,38,43,38,43,39,41,38,40,38,39,38,38,8,6,13,11,25,21,31,27
104,Basler_acA2500-14um__23891378__20221129_144902408_0117.tiff,1544,760,38,19,16,35,33,37,36,38,39,38,41,38,43,38,43,38,41,38,40,37,39,37,38,8,6,13,11,25,21,30,27
105,Basler_acA2500-14um__23891378__20221129_144902408_0118.tiff,1544,760,37,18,16,34,33,36,36,38,39,38,41,38,43,37,43,38,41,37,39,37,39,37,38,8,6,13,11,24,21,30,27
106,Basler_acA2500-14um__23891378__20221129_144902408_0119.tiff,1544,760,37,18,16,34,33,36,36,38,39,38,41,38,42,37,43,38,40,37,39,37,39,37,38,8,6,13,11,24,21,30,27
107,Basler_acA2500-14um__23891378__20221129_144902408_0120.tiff,1544,760,37,18,15,34,32,36,36,38,38,38,41,37,42,37,42,38,40,37,39,37,38,37,37,8,6,13,11,24,20,30,26
108,Basler_acA2500-14um__23891378__20221129_144902408_0121.tiff,1544,760,37,18,15,33,32,36,35,37,38,38,40,37,42,37,42,38,40,37,39,36,38,37,37,8,6,13,11,24,20,30,26
109,Basler_acA2500-14um__23891378__20221129_144902408_0122.tiff,1544,761,37,18,15,33,32,35,35,37,38,37,40,37,42,36,42,37,40,37,39,36,38,36,37,8,6,13,10,24,20,29,26
110,Basler_acA2500-14um__23891378__20221129_144902408_0123.tiff,1544,760,37,17,15,33,32,35,35,37,38,37,40,36,42,36,42,37,40,36,39,36,38,36,37,8,6,12,10,23,20,29,26
